Ticker,TickerType,Company,Traded,Transaction,Trade_Size_USD,Status,Subholding,Description,Name,BioGuideID,Filed,Party,District,Chamber,Comments,Quiver_Upload_Time,excess_return,State,last_modified
CME,ST,CME GROUP INC. - CLASS A,2020-03-27,Purchase,"$1,001 - $15,000",NEW,,,John Curtis,C001114,2020-04-09,R, UT03,House,,2020-07-26,-102.626400562046,Utah,2023-11-16
DE,ST,DEERE & COMPANY,2020-03-27,Purchase,"$1,001 - $15,000",NEW,,,John Curtis,C001114,2020-04-09,R, UT03,House,,2020-07-26,52.4697522365803,Utah,2023-11-16
LVS,ST,LAS VEGAS SANDS CORP.,2020-03-27,Purchase,"$1,001 - $15,000",NEW,,,John Curtis,C001114,2020-04-09,R, UT03,House,,2020-07-26,-118.128405576592,Utah,2023-11-16
SPGI,ST,S&P GLOBAL INC.,2020-03-27,Purchase,"$1,001 - $15,000",NEW,,,John Curtis,C001114,2020-04-09,R, UT03,House,,2020-07-26,-22.9343173166027,Utah,2023-11-16
TXN,ST,TEXAS INSTRUMENTS INCORPORATED,2020-03-27,Purchase,"$1,001 - $15,000",NEW,,,John Curtis,C001114,2020-04-09,R, UT03,House,,2020-07-26,-31.0803442206642,Utah,2023-11-16
ADBE,ST,ADOBE INC.,2020-03-27,Purchase,"$1,001 - $15,000",NEW,,,John Curtis,C001114,2020-04-09,R, UT03,House,,2020-07-26,-61.6605224909386,Utah,2023-11-16
LRCX,ST,LAM RESEARCH CORPORATION,2020-03-27,Purchase,"$1,001 - $15,000",NEW,,,John Curtis,C001114,2020-04-09,R, UT03,House,,2020-07-26,70.3751987262379,Utah,2023-11-16
MNST,ST,MONSTER BEVERAGE CORPORATION,2020-03-27,Purchase,"$1,001 - $15,000",NEW,,,John Curtis,C001114,2020-04-09,R, UT03,House,,2020-07-26,-35.8123289150324,Utah,2023-11-16
FB,ST,"FACEBOOK, INC. - CLASS A",2020-03-27,Purchase,"$15,001 - $50,000",NEW,,,John Curtis,C001114,2020-04-09,R, UT03,House,,2020-07-26,-36.9088404022037,Utah,2023-11-16
BSX,ST,BOSTON SCIENTIFIC CORPORATION,2020-03-27,Purchase,"$1,001 - $15,000",NEW,,,John Curtis,C001114,2020-04-09,R, UT03,House,,2020-07-26,54.2264052726402,Utah,2023-11-16
MSFT,ST,MICROSOFT CORPORATION,2020-03-11,Purchase,"$1,001 - $15,000",NEW,,,John Curtis,C001114,2020-04-09,R, UT03,House,,2020-07-26,57.7962602406727,Utah,2023-11-16
ZM,ST,"ZOOM VIDEO COMMUNICATIONS, INC. - CLASS A",2020-03-04,Purchase,"$1,001 - $15,000",NEW,,,John Curtis,C001114,2020-04-09,R, UT03,House,,2020-07-26,-118.172022925716,Utah,2023-11-16
TEAM,ST,ATLASSIAN CORPORATION PLC - CLASS A ORDINARY SHARES,2020-03-04,Purchase,"$1,001 - $15,000",NEW,,,John Curtis,C001114,2020-04-09,R, UT03,House,,2020-07-26,-26.270526850003,Utah,2023-11-16
HASI,ST,"HANNON ARMSTRONG SUSTAINABLE INFRASTRUCTURE CAPITAL, INC.",2020-03-04,Purchase,"$1,001 - $15,000",NEW,,,John Curtis,C001114,2020-04-09,R, UT03,House,,2020-07-26,-118.298870857452,Utah,2023-11-16
AMZN,ST,"AMAZON.COM, INC.",2020-03-04,Purchase,"$1,001 - $15,000",NEW,,,John Curtis,C001114,2020-04-09,R, UT03,House,,2020-07-26,25.7388076120171,Utah,2023-11-16
MSFT,OP,MICROSOFT CORPORATION,2020-02-28,Purchase,"$100,001 - $250,000",NEW,,PURCHASED 50 CALL OPTIONS WITH A STRIKE PRICE OF $130 AND AN EXPIRATION DATE OF 3/19/2021.,Nancy Pelosi,P000197,2020-04-01,D, CA12,House,,2020-07-26,60.4105415396712,California,2023-11-16
GOOGL,OP,ALPHABET INC. - CLASS A,2020-02-27,Purchase,"$500,001 - $1,000,000",NEW,,PURCHASED 40 CALL OPTIONS WITH A STRIKE PRICE OF $1200 AND AN EXPIRATION DATE OF 6/18/2021.,Nancy Pelosi,P000197,2020-04-01,D, CA12,House,,2020-07-26,71.2481813040086,California,2023-11-16
